estrofes,emocao
carn feit nuv afliçã encontr perd vou par cas,felicidade
cas coraçã mud cas camp min terr ger cas,felicidade
cas fic trás mund vou comec cant,felicidade
esperanc jesus jesus jesus promess igrej jesus jesus,felicidade
esperanc sol brilh sol ilumin pass harmon universal infern cheg civiliz,felicidade
felic sonh olhos namor pass pass,felicidade
busc madrug fal pra acord alegr oferec beij amor,felicidade
felic sonh olhos namor pass pass,felicidade
busc madrug fal prá acord alegr oferec beij amor,felicidade
felic sonh olhos namor pass pass busc madrug fal pra acord alegr oferec beij amor,felicidade
gent sofr desped dor pra band pass cant cois amor,felicidade
músic levant poeir entrar barracã cabroch pendur sai amanhec feir mangueir estaçã mangueir,felicidade
namor deix pra agradec caus viv vid pra val,felicidade
ros vermelh romã abert fech manhã,felicidade
trag ros vermelh boc encarn der abelh boc fech trag ros vermelh precis,felicidade
sort baralh destin liberdad legítim naçã brasileir mulat trag cabroch coraçã,felicidade
terr vian mont mar dou terr cheg,felicidade
vid mestr coraçã mestr mestr esperanc mestr,felicidade
vid real legal estranh gostos gent rir toa mud deix feliz coraçã gostos comig pra val,felicidade
vid amar ire sonh coraçã cas,felicidade
vid melancol aparec ros fugid sonh louc fantas,felicidade
moc trist viv cal sorr ros trist viv fech abriu menin assanh pra band pass cant cois amor,felicidade
modern dur pra tecnolog pra cri fantas,felicidade
vir deput pânic dissimul plan educ parec fácil parec fácil ráp,medo/surpresa
estil manuelin pra erig bel altar intençã entroniz,medo/surpresa
gent cheg cheg mead fio pra rio rio mar mar,medo/surpresa
inspir pergunt mim alguém repond aviã barc bond,medo/surpresa
mund convit capel rach pra mord apetit altar,medo/surpresa
jesus pirapor procur piedad,medo/surpresa
bot crianc pra chap esquent,medo/surpresa
irmã mor irmandad paixã liberdad piedad,medo/surpresa
mort vim convers contig vim ped abrig precis calor,medo/surpresa
vou deslig blitz frent vou tir bon car inocent,medo/surpresa
senhor mort deus vid lut proib piedad,medo/surpresa
dig jog morr bloc arder fog,medo/surpresa
lig pra pap bail indo lombr morr tom melhor volt rol festinh pracinha,medo/surpresa
vou fic lucr pass escurec bagulh doid,medo/surpresa
man pis estranh deu fac pescoc morr man pis man man car embarg show man don salã fal show rap,medo/surpresa
seguint tav tend show impéri consciênc human surg tret car morr car,medo/surpresa
vix entend crer políc fech show ninguém cas fech véi entend,medo/surpresa
vam termin enrol bagui pra rol irmã firmez firmez man mund mã cabec mã cabec cad bagui irmãova caguet claudi claudi baguio,medo/surpresa
manoc viu políc man embac morr cert manopr cad vir,medo/surpresa
morr jeitocert manofic ligeiroporqu chei políciachei gans descabel manovim pra levant vam col,medo/surpresa
seman top mund crist onda eufor estranh  seman top mund crist onda mergulh busc,medo/surpresa
quant boc fech bomb beij chã cidad cham cidad cham,medo/surpresa
pass film fumac bar salv vid,medo/surpresa
desc serr ceg neblin imagin curv estrad serpent mort port paraís,medo/surpresa
“se problem cárdi sugir deslig rádio”,medo/surpresa
kleb car morr manodaqu pra frent cocã jeit abal fic firm nóis junt,medo/surpresa
deus esquec capítul histór demôni escrev sonh mort comum decomposiçã,medo/surpresa
adiant chor adiant grit cidad,medo/surpresa
infern pra escap,medo/surpresa
cad corp manoman peg celul embac manoesforc man barat loucoput par car sub metr chãodeus céu cham ambul caralh,medo/surpresa
mag negr vou volt mag negr mat,medo/surpresa
telm gay fal mim calún par,medo/surpresa
min terrestr palm chã dias melhor virã,medo/surpresa
detençã mur fug daqu defes fod fug daquidetençã mur fug daqu defes fod fug daqu crê man fug daqu,medo/surpresa
crim crim quebr normal fog fumac cheg drog inevitavel embac,medo/surpresa
pap pop pap pop pop poup ninguém pap lev tir queim roup pop poup ninguém,medo/surpresa
febr vid gangst rim brilhant cos nostr perig caralh vid passageir cheg ensai cen verdadeir,medo/surpresa
trilh ambul fre contraband fug rap marc mulh sonh bol pad pra cant parabéns pra filh tia ilumin giroflex políc corp mar esper períc,medo/surpresa
playland escolh brinqued prefer forc guilhotin olho derret maçar crâni vir bol ritual sadism marret fratur costel perfur intestin,medo/surpresa
dól zorb receb mensalã universal milhõ dízim aviã crer allan kardec mort vid plan almas encontr,medo/surpresa
fredy krueg med cenári zon sul grajaú madrug paul rolet macabr sort giroflex projet slid túmul,medo/surpresa
vam ouvidor denúnc entrar program proteçã testemunh cad lesm ocorrent segund chã algem,medo/surpresa
coronh baf whisky fug script porr tam perd tem arma haxix rádi averigu passag iml reconhec tatuag,medo/surpresa
obrig sac dinheir caix mir las cost crom grit alarm premedit flor bençã padr mor europa,medo/surpresa
algum molequ dei esmol fech vidr car tchau porr sai vej result barrig che filh faxineir cort jugul,medo/surpresa
açõ imóv cont exterior oitã cabec diss igual film jornal mulh estupr mar assist dand ris,medo/surpresa
conceit artist brasileir far vangog cort orelh invent luz clon comput fot pra registr histór horror,medo/surpresa
minut pass tensã extrem mulh errou senh lembr jog gasolin risc fósfor,medo/surpresa
contrat vig lanc carr blind ladrã banc culp port abre grit entra vac dand coronh porr gráv,medo/surpresa
qu mã faix ped justic registr sumic delegac pens holerit profissã troféu ossad rabecã,medo/surpresa
alô ivo pitanguy transplant facial ladrã jog álcool queimadur grau traz prótes pra pern tir deu hemorrag pra pass fisioterap,medo/surpresa
deput estoc vergalhã plenári sonh presid sessã serenat ouc pass vej vult espírit,medo/surpresa
prep pra algem fal juíz met perjúri pra habb corpus conced pra segur intestin fit bing eduard inser capel espirit,medo/surpresa
ninguém tir    president igual mandel antôni conselheir canud cel psiu agent desarm chav acess gal carcerag,medo/surpresa
med agent caminh comec fal cidad perceb amig idé esquisit cidad idé atrapalh ilusã negóci louc,medo/surpresa
viv sofr ser esper esper enred oper,medo/surpresa
episódi deu confusã gent machuc favel ocup med domin trabalh fic plan seg mat enterr impost pag desacredit justic clam deus implor almas orand vid jog,medo/surpresa
ru fech carr par camis car pilot assust relógi roub busã quebr neguinh bol caminhã saqu batalhã choqu porret mã tir aut pra assust multidã,medo/surpresa
convid pra sub adro fundaçã cas jorg amad pra alto fil sold quas pret dand porr nuc malandr pret,medo/surpresa
histor crianc corr mã chor chap quent tir pra silenci prac corp inocent cheg maldit polic cheg polic med armad fard carteir assin ódi car pront mau,medo/surpresa
pret morr ninguém socorr comun cen arma disp pânic aument ate cinem real armas brinqued polic invad favel espalh terror med,medo/surpresa
refém med guerreir infern cri jesus escuridã tent busc achar luz,medo/surpresa
fal faz curv viatur vou par vou lev dur acontec tap sac cham pret abus document mã minut liber,medo/surpresa
novent popul anda arma mã conf proteçã med camburã cacetet mã fic jog chã,medo/surpresa
viv perig constant avis carinh amanhec,medo/surpresa
favel sold bandeir desconfi lad tem algum nasc guerr acostum vou tiu tiu,medo/surpresa
favel sold bandeir desconfi lad tem algum nasc guerr acostum vou tiu tiu,medo/surpresa
arranc dent alicat vou mascot azed marmit fog chicot opçã mort pra mant ide viv,medo/surpresa
junt palavr folh bot pra permanec encolh maldad cois vid der escolha,medo/surpresa
revid atac chacin met repressã vilã poet sold rua glock beret convoc pra guerr der canet,medo/surpresa
envolv brac seren vou rend olhos moren met med rai sol líg líg,medo/surpresa
ouv contrári procur hein,medo/surpresa
aproxim mim mod estranh dig olhos castanh met med sol líg líg,medo/surpresa
pa pai condena amor langor luxúr poupa pai filh fúr senhor,medo/surpresa
manhã políc encontr dificuldad pra control multidã prac prac guerr vidr quebr chã lix espalh pres fic fer prefeitur assum respons,medo/surpresa
vid perd joelh umbig perig,medo/surpresa
arroz feijã farinh prat principal bif cebol époc natal crianc toa brinqued doad joe desfigur carênc brac,medo/surpresa
jesus crist lament merec perdã propag desgrac alhe trar salvaçã ascensã dor mandament pensament transcrit pro testament,medo/surpresa
milhõ african mort segreg cac bandeir esquadrã mort,medo/surpresa
comerci informal variedad produt dent our defunt imag sant túmul pivet cresc detent,medo/surpresa
litr sang derram corp     litr anu form mar mort evapor condens vir chuv ácid sol germin raiv incur pra anti rábic,medo/surpresa
sal terr luz mund gost trev imped,medo/surpresa
alcanc rein deus corrent anda beb font águ mar,medo/surpresa
arc desconjunt ruir pul bichar quer sair,medo/surpresa
ausênc silênci tard tard vergonh espelh marc mat insan olhos olhos insan,medo/surpresa
barat bich natur cert espert ninguém,medo/surpresa
barat deus corr barat voa maldit barat jesus socorr barat grit,medo/surpresa
barat ráp aviã nojent lamb chã cucarach dan psicodél barat,medo/surpresa
bel fer fals sinc clar escur loucur,medo/surpresa
belez embriag vinh alma brot alma brot sust terrível,medo/surpresa
class band larg acab aul abrir págin internet disc bibliotec públic pra   milhõ zon sul bic linch mat vig itaú,medo/surpresa
carnic mat mosquit put fedor mostr luz túnel apag acredit paz futur som metralh traz crâni fur,medo/surpresa
corp mansã pra mim comec sang lágrim dinheir prec crianc grit dor desesper vend mã tom fac arrast cabel,medo/surpresa
port mal capuz jesus cad senh padr abenço cruz colabor fal filh deix viv lev louc viúv lut,medo/surpresa
cidad apavor qued paralis pront pra vir gel zepelim gigant desc comand diz mud ide,medo/surpresa
mat cortin transparent revel solitud solidã,medo/surpresa
desej violent bat quer pânic vertig obsessã expressã angúst depressã,medo/surpresa
pressent indefinivel mat,medo/surpresa
sozinh onda med fantasm enrred destin imag diferent consient inconsient desatin,medo/surpresa
expressã angúst depressã pressent indefinivel mat,medo/surpresa
sair continu ped vot agent reag,medo/surpresa
sentenc cant castel trem pres gaiol acompanh filh pra escol vou tir tempor,medo/surpresa
vou fic sapatinh pra arrum problem facçã regal pass venen pens niss pra vir máquin inimig,medo/surpresa
esp milagr insist diss abro mã vou morr solidã amig deus,medo/surpresa
políc preconceit armas ide exager abus chacin seman igu polic pag justiceir fard term convém,medo/surpresa
falh human justific pra argument tribunal vid gent paz almej viv esper,medo/surpresa
cal escond condomíni lei favel imper genocídi dur vid ensin caminh pern rest livr corró destró,medo/surpresa
filh mat vig assalt vier pro asfalt passeat mat engol bandeir faix desconhec cenári polít jog gran inimig entend escol,medo/surpresa
renasc líri val salomã consegu,medo/surpresa
renasc líri val salomã consegu,medo/surpresa
fit cert jãopr sobreviv capã infeliz sofr gent frent esquelet escuridã decomposiçã,medo/surpresa
gent sent existent guerr violênc inimig,medo/surpresa
gent sent luz cidad escur abrig,medo/surpresa
gent pod convers inteir fal séri brincadeir dorm son profund mund sol rai,medo/surpresa
gent pod convers inteir amanhã feir cont pag apag luz dorm despert toc,medo/surpresa
lord dand ordem gord gait fol andaim qué mass mol reclam pra mestr esfol viv viv,medo/surpresa
guerr ceg cor fad carn trêmul pavilhã destin desesper espéc devanei ódi devor sobr menin,medo/surpresa
guerr guerr guerr guerr guerr guerr,medo/surpresa
heroín conduz garot inofens monstr empres cac pres alvo mir psicopat armad,medo/surpresa
histór trafic histór trafic histór mort histór trafic velóri rez mim,medo/surpresa
igualdad social cont fad felic sonh mágic acredit palavr metralh revoluçã verbal aterroriz vam queim constituiçã coquetel molotov carr bomb congress tic tac explod suplic pro gamb derrub port bat mulh atir cost,medo/surpresa
inform pec chav sex segur powmor mur quent dit car coraçã proteçã risc contamin,medo/surpresa
pens acontec camisinh ninguém imun hiv dst dstdoenc sexual transmissív exempl hepatit aids sífil,medo/surpresa
sex descuid contamin pint boc ânus vagin sintom aparec desaparec cuid signif cur,medo/surpresa
perceb coceir cheir estranh fed fer escorr líqu man acontec exist remédi procur auxíli médic,medo/surpresa
juventud sozinh ninguém ajud explic mund desastr,medo/surpresa
